occ2_tgt3_hid0_seed89_stack_uc0_semantic | goal=stack seed=89 | placed green_object@free_001 line=130 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=19 | placed green_object@free_002 line=228 -> reblocks ['shadow_of_green_object__01', 'shadow_of_green_object__02'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic | goal=holding seed=19 | placed green_object@free_010 line=217 -> reblocks ['shadow_of_green_object__00', 'shadow_of_green_object__01', 'shadow_of_green_object__02'] (target true hiding place=True, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.05 | goal=holding seed=19 | placed red_object@free_010 line=141 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=3 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.05 | goal=holding seed=19 | placed cyan_object@free_016 line=229 -> reblocks ['shadow_028'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.05 | goal=holding seed=19 | placed orange_object@free_008 line=389 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.05 | goal=holding seed=19 | placed green_object@free_043 line=625 -> reblocks ['shadow_of_green_object__00', 'shadow_of_green_object__01', 'shadow_of_green_object__02'] (target true hiding place=True, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.1 | goal=holding seed=19 | placed red_object@free_005 line=140 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.1 | goal=holding seed=19 | placed cyan_object@free_013 line=1340 -> reblocks ['shadow_011'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.1 | goal=holding seed=19 | placed orange_object@free_016 line=1463 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.135 | goal=holding seed=19 | placed red_object@free_008 line=547 -> reblocks ['shadow_of_green_object__00', 'shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_semantic_mbs0.135 | goal=holding seed=19 | placed orange_object@free_006 line=786 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed19_holding_uc0_uniform | goal=holding seed=19 | placed orange_object@free_030 line=133 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
randpairs_occ3_seed19_holding_uc0_uniform | goal=holding seed=19 | placed red_object@free_156 line=214 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
randpairs_occ3_seed19_holding_uc0_uniform | goal=holding seed=19 | placed cyan_object@free_241 line=401 -> reblocks ['shadow_306'] (target true hiding place=False, oracle_shadow=shadow_of_green_object__01) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=20 | placed red_object@free_010 line=254 -> reblocks ['shadow_092', 'shadow_093', 'shadow_094', 'shadow_095', 'shadow_096'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (7 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=20 | placed green_object@free_004 line=627 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (7 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=20 | placed blue_object@free_165 line=730 -> reblocks ['shadow_261', 'shadow_262'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (7 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed red_object@free_010 line=237 -> reblocks ['shadow_011', 'shadow_012', 'shadow_013', 'shadow_014', 'shadow_015'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=4 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (5 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed blue_object@free_020 line=571 -> reblocks ['shadow_027', 'shadow_028'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=3 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (5 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed green_object@free_035 line=719 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (5 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed purple_object@free_031 line=803 -> reblocks ['shadow_036'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (5 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed yellow_object@free_051 line=947 -> reblocks ['shadow_of_yellow_object__01'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (5 unsearched shadows remaining)
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=20 | placed red_object@free_010 line=237 -> reblocks ['shadow_011', 'shadow_012', 'shadow_013', 'shadow_014', 'shadow_015'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=3 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=20 | placed blue_object@free_022 line=570 -> reblocks ['shadow_028', 'shadow_029'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=20 | placed purple_object@free_035 line=860 -> reblocks ['shadow_040'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=20 | placed orange_object@free_048 line=945 -> reblocks ['shadow_041'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_holding_uc0_semantic | goal=holding seed=20 | placed green_object@free_004 line=132 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_holding_uc0_semantic_mbs0.01 | goal=holding seed=20 | placed green_object@free_003 line=146 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_holding_uc0_semantic_mbs0.1 | goal=holding seed=20 | placed red_object@free_010 line=133 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_holding_uc0_semantic_mbs0.1 | goal=holding seed=20 | placed green_object@free_003 line=222 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed20_holding_uc0_semantic_mbs0.135 | goal=holding seed=20 | placed red_object@free_009 line=751 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ3_seed20_holding_uc0_semantic_mbs0.135 | goal=holding seed=20 | placed blue_object@free_012 line=974 -> reblocks ['shadow_011'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ3_seed20_holding_uc0_uniform | goal=holding seed=20 | placed green_object@free_036 line=224 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=25 | placed red_object@free_020 line=231 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__02'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=25 | placed green_object@free_036 line=378 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=25 | placed orange_object@free_056 line=523 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=25 | placed green_object@free_115 line=245 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=25 | placed orange_object@free_116 line=421 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=25 | placed orange_object@free_020 line=229 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=25 | placed orange_object@free_012 line=302 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=25 | placed orange_object@free_001 line=227 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=25 | placed green_object@free_013 line=229 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=25 | placed orange_object@free_001 line=316 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_find-and-tray-stack_uc0_uniform | goal=find-and-tray-stack seed=25 | placed orange_object@free_104 line=215 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic | goal=holding seed=25 | placed orange_object@free_001 line=1356 -> reblocks ['shadow_of_orange_object'] (target true hiding place=True, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.01 | goal=holding seed=25 | placed orange_object@free_006 line=241 -> reblocks ['shadow_of_orange_object'] (target true hiding place=True, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.1 | goal=holding seed=25 | placed orange_object@free_006 line=230 -> reblocks ['shadow_of_orange_object'] (target true hiding place=True, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.135 | goal=holding seed=25 | placed green_object@free_007 line=234 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.135 | goal=holding seed=25 | placed orange_object@free_014 line=347 -> reblocks ['shadow_of_orange_object'] (target true hiding place=True, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.18 | goal=holding seed=25 | placed red_object@free_005 line=1146 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__02'] (target true hiding place=False, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.18 | goal=holding seed=25 | placed green_object@free_011 line=1285 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_semantic_mbs0.18 | goal=holding seed=25 | placed orange_object@free_017 line=1420 -> reblocks ['shadow_of_orange_object'] (target true hiding place=True, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed25_holding_uc0_uniform | goal=holding seed=25 | placed orange_object@free_161 line=134 -> reblocks ['shadow_of_orange_object'] (target true hiding place=True, oracle_shadow=shadow_of_orange_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=28 | placed green_object@free_005 line=232 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=28 | placed green_object@free_136 line=244 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=28 | placed orange_object@free_002 line=331 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=28 | placed green_object@free_037 line=439 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=28 | placed green_object@free_005 line=229 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=28 | placed orange_object@free_002 line=233 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic | goal=holding seed=28 | placed green_object@free_006 line=487 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.01 | goal=holding seed=28 | placed red_object@free_002 line=459 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__03'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=3 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.01 | goal=holding seed=28 | placed orange_object@free_145 line=484 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.01 | goal=holding seed=28 | placed cyan_object@free_125 line=774 -> reblocks ['shadow_237'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.01 | goal=holding seed=28 | placed green_object@free_284 line=924 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.05 | goal=holding seed=28 | placed orange_object@free_006 line=143 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=3 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.05 | goal=holding seed=28 | placed red_object@free_001 line=441 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.05 | goal=holding seed=28 | placed cyan_object@free_045 line=704 -> reblocks ['shadow_071'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.05 | goal=holding seed=28 | placed green_object@free_035 line=990 -> reblocks ['shadow_070'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.1 | goal=holding seed=28 | placed green_object@free_005 line=143 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.135 | goal=holding seed=28 | placed orange_object@free_001 line=582 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.135 | goal=holding seed=28 | placed cyan_object@free_025 line=964 -> reblocks ['shadow_007', 'shadow_008', 'shadow_009'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.135 | goal=holding seed=28 | placed green_object@free_044 line=1666 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_semantic_mbs0.18 | goal=holding seed=28 | placed green_object@free_001 line=242 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_uniform | goal=holding seed=28 | placed orange_object@free_030 line=136 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed28_holding_uc0_uniform | goal=holding seed=28 | placed green_object@free_154 line=319 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=2 | placed green_object@free_010 line=231 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=2 | placed red_object@free_007 line=397 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__02'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=2 | placed orange_object@free_037 line=598 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=2 | placed red_object@free_007 line=242 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__02'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=2 | placed green_object@free_098 line=400 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=2 | placed orange_object@free_148 line=1047 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=2 | placed green_object@free_010 line=230 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=2 | placed red_object@free_037 line=321 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__02'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=2 | placed orange_object@free_033 line=762 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=2 | placed green_object@free_010 line=224 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=2 | placed red_object@free_007 line=337 -> reblocks ['shadow_of_red_object__01', 'shadow_of_red_object__02'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=2 | placed orange_object@free_024 line=538 -> reblocks ['shadow_of_orange_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ3_seed2_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=2 | placed green_object@free_010 line=223 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
